a	aː
agebéit	ɑgəbɜɪt
abéissen	ɑbɜɪsən
agebéisst	ɑgəbɜɪst
abenteuer	aːbəntoɪɐ
abenteuerlech	aːbəntoɪɐləɕ
aberuffen	ɑbəʀufən
aberuff	ɑbəʀuf
abetonéieren	ɑbətoːnɜɪəʀən
abetonéiert	ɑbətoːnɜɪɐt
abezéien	ɑbətsɜɪən
abezunn	ɑbətsun
abezuelen	ɑbətsuələn
abezuelt	ɑbətsuəlt
abiergeren	ɑbiːɐʑəʀən
agebiergert	ɑgəbiːɐʑɐt
abilden	ɑbildən
agebilt	ɑgəbilt
abildung	ɑbilduŋ
abildungen	ɑbilduŋən
abiméieren	ɑbimɜɪəʀən
abiméiert	ɑbimɜɪɐt
ablack	ɑblɑk
ablécker	ɑblekɐ
abléck	ɑblek
ablécklech	ɑblekləɕ
ablenden	ɑblændən
ageblent	ɑgəblænt
ablennen	ɑblænən
ageblennt	ɑgəblænt
abo	ɑboː
aboen	ɑboːən
abonnéieren	ɑbonɜɪəʀən
abonnéiert	ɑbonɜɪɐt
abonnement	ɑbonəmænt
abonnementer	ɑbonəmæntɐ
abonnent	ɑbonænt
abonnenten	ɑbonæntən
abonnentin	ɑbonæntin
abonnentinnen	ɑbonæntinən
abordabel	ɑbɔʀdaːbəl
abordéieren	ɑbɔʀdɜɪəʀən
abordéiert	ɑbɔʀdɜɪɐt
abrëll	ɑbʀəl
abrëller	ɑbʀəlɐ
abrëllsgeck	ɑbʀəlsgæk
abrëllsgecken	ɑbʀəlsgækən
abrëllswieder	ɑbʀəlsviədɐ
abrëllswitz	ɑbʀəlsvits
abrëllswitzen	ɑbʀəlsvitsən
abréngen	ɑbʀeŋən
abruecht	ɑbʀuəɕt
abrennen	ɑbʀænən
agebrannt	ɑgəbʀɑnt
abriechen	ɑbʀiəɕən
agebrach	ɑgəbʀɑχ
abriecher	ɑbʀiəɕɐ
abriecherin	ɑbʀiəɕəʀin
abriecherinnen	ɑbʀiəɕəʀinən
abroch	ɑbʀoχ
abréch	ɑbʀəɕ
abrupt	ɑbʀupt
abs	ɑps
abscheilech	ɑpʃɑɪləɕ
abschid	ɑpʃi
abschnitt	ɑpʃnit
abschnitter	ɑpʃnitɐ
absehbar	ɑpzeːbaːʀ
abseits	ɑpzɑɪts
absence	ɑpzɑ̃ːs
absencen	ɑpzɑ̃ːsən
absender	ɑbzændɐ
absënns	ɑpzəns
absenteismus	ɑbzænteːismus
absicht	ɑpziɕt
absichten	ɑpziɕtən
absichtlech	ɑpziɕtləɕ
absolut	ɑpzolu
absolutioun	ɑpzolutjəʊn
absolutiounen	ɑpzolutjəʊnən
absolutismus	ɑpzolutismus
absolvéieren	ɑbzolvɜɪəʀən
absolvéiert	ɑbzolvɜɪɐt
absolvent	ɑbzolvænt
absolventen	ɑbzolvæntən
absolventin	ɑbzolvæntin
absolventinnen	ɑbzolvæntinən
abstentioun	ɑpʃtæntjəʊn
abstentiounen	ɑpʃtæntjəʊnən
abstrakt	ɑbstʀɑkt
abstraktioun	ɑbstʀɑksjəʊn
abstraktiounen	ɑbstʀɑksjəʊnən
absurd	ɑpzuʀt
absurditéit	ɑpzuʀtitɜɪt
absurditéiten	ɑpzuʀtitɜɪtən
abt	ɑpt
äbt	æpt
abtei	ɑptɑɪ
abteien	ɑptɑɪən
abteilung	ɑptɑɪluŋ
abteilungen	ɑptɑɪluŋən
äbtissin	æptisin
äbtissinnen	æptisinən
abuddelen	ɑbudələn
agebuddelt	ɑgəbudəlt
abus	ɑbyː
abusen	ɑbyːən
abzebild	ɑbtsəbilt
abzebiller	ɑbtsəbilɐ
abzebildchen	ɑbtsəbiltɕən
abzebillercher	ɑbtsəbilɐɕɐ
acajou	ɑkɑʒuː
acceleratioun	ɑkseləʀatsjəʊn
acceleréieren	ɑkseləʀɜɪəʀən
acceleréiert	ɑkseləʀɜɪɐt
accent	ɑksɑ̃ː
accenten	ɑksɑ̃ːən
accentuéieren	ɑksɑ̃ːtyɜɪəʀən
accentuéiert	ɑksɑ̃ːtyɜɪɐt
acceptabel	ɑksæptaːbəl
acceptanz	ɑksæptɑnts
acceptéieren	ɑksæptɜɪəʀən
acceptéiert	ɑksæptɜɪɐt
accès	ɑksɛː
accèsen	ɑksɛːən
accessibel	ɑksæsibəl
accessoire	ɑksæswaːʀ
accessoiren	ɑksæswaːʀən
accident	ɑksidænt
accidenter	ɑksidæntɐ
accidentéiert	ɑksidæntɜɪɐt
accisen	ɑksiːzən
accord	ɑkɔːʀ
accorden	ɑkɔːʀən
accordéieren	ɑkɔːʀdɜɪəʀən
accordéiert	ɑkɔːʀdɜɪɐt
accouchéieren	ɑkuʃɜɪəʀən
accouchéiert	ɑkuʃɜɪɐt
accouchement	ɑkuʃəmænt
accouchementer	ɑkuʃəmæntɐ
accreditatioun	ɑkʀeditatsjəʊn
accreditatiounen	ɑkʀeditatsjəʊnən
accreditéieren	ɑkʀeditɜɪəʀən
accreditéiert	ɑkʀeditɜɪɐt
accueil	ɑkœj
accueilen	ɑkœjən
accumulatioun	ɑkymylatsjəʊn
accumulatiounen	ɑkymylatsjəʊnən
accumuléieren	ɑkymylɜɪəʀən
accumuléiert	ɑkymylɜɪɐt
accusatioun	ɑkœzatsjəʊn
accusatiounen	ɑkœzatsjəʊnən
accuséieren	ɑkyzɜɪəʀən
accuséiert	ɑkyzɜɪɐt
achs	ɑks
achsen	ɑksən
achterbahn	ɑχtɐbaːn
achterbahnen	ɑχtɐbaːnən
achterbunn	ɑχtɐbun
achterbunnen	ɑχtɐbunən
achzeg	ɑχtsəɕ
achzeger	ɑχtsəʑɐ
achzegerjoren	ɑχtsəʑɐjoːʀən
achzegst	ɑχtsəɕst
acompte	ɑkɑ̃ːnt
acompten	ɑkɑ̃ːntən
acquis	ɑkiː
acquisen	ɑkiːən
acquisitioun	ɑkizitsjəʊn
acquisitiounen	ɑkizitsjəʊnən
acquittéieren	ɑkitɜɪəʀən
acquittéiert	ɑkitɜɪɐt
acrèmen	ɑkʀɛːmən
agecrèmt	ɑgekʀɛːmt
acteur	ɑktœːʀ
acteuren	ɑktœːʀən
actionfilm	ɑksjoːfilm
actionfilmer	ɑksjoːfilmɐ
actionnaire	ɑksjoːnɛːʀ
actionnairen	ɑksjoːnɛːʀən
actionnairesversammlung	ɑksjoːnɛːʀezfɐzɑmluŋ
actionnairesversammlungen	ɑksjoːnɛːʀezfɐzɑmluŋən
actionnairin	ɑksjoːnɛːʀin
actionnairinnen	ɑksjoːnɛːʀinən
actrice	ɑktʀis
actricen	ɑktʀisən
adaptatioun	ɑdaːptatsjəʊn
adaptatiounen	ɑdaːptatsjəʊnən
adaptéieren	ɑdaːptɜɪəʀən
adaptéiert	ɑdaːptɜɪɐt
adapter	ɑdaːptɐ
adapteren	ɑdaːptəʀən
addéieren	ɑdɜɪəʀən
addéiert	ɑdɜɪɐt
äddi	ædiː
additioun	ɑditsjəʊn
additiounen	ɑditsjəʊnən
adel	aːdəl
adeleg	aːdələɕ
adequat	ɑdekwaːt
adjektiv	ɑtjektiːf
adjektiven	ɑtjektiːvən
adjoint	ɑdʒwɛ̃ː
adjointen	ɑdʒwɛ̃ːən
adjointe	ɑdʒwɛ̃ːnt
adjointeën	ɑdʒwɛ̃ːntən
adjutant	ɑdʒutɑnt
adjutanten	ɑdʒutɑntən
adjutantin	ɑdʒutɑntin
adjutantinnen	ɑdʒutɑntinən
adler	aːdlɐ
administrateur	aːtministʀɑtœːʀ
administrateuren	aːtministʀɑtœːʀən
administrateurin	aːtministʀɑtœːʀin
administrateurinnen	aːtministʀɑtœːʀinən
administratioun	aːtministʀatsjəʊn
administratiounen	aːtministʀatsjəʊnən
administrativ	aːtministʀɑtiːf
administratrice	aːtministʀɑtʀis
administratricen	aːtministʀɑtʀisən
administréieren	aːtministʀɜɪəʀən
administréiert	aːtministʀɜɪɐt
admirol	aːtmiʀoːl
admireel	aːtmiʀeːl
admirolin	aːtmiʀoːlin
admirolinnen	aːtmiʀoːlinən
admissioun	aːtmisjəʊn
admissiounen	aːtmisjəʊnən
adoptéieren	ɑdoptɜɪəʀən
adoptéiert	ɑdoptɜɪɐt
adoptioun	ɑdoptjəʊn
adoptiounen	ɑdoptjəʊnən
adoptivelteren	ɑdoptiːvæltəʀən
adoptivkand	ɑdoptiːfkɑnt
adoptivkanner	ɑdoptiːfkɑnɐ
adress	ɑdʀæs
adressen	ɑdʀæsən
adresse	ɑdʀæsə
adressebichelchen	ɑdʀæsəbiɕəlɕən
adressebichelcher	ɑdʀæsəbiɕəlɕɐ
adressëbichelchen	ɑdʀæsəbiɕəlɕən
adressëbichelcher	ɑdʀæsəbiɕəlɕɐ
adresséieren	ɑdʀæsɜɪəʀən
adresséiert	ɑdʀæsɜɪɐt
advent	ɑdvænt
adventsdekoratioun	ɑdvæntsdəkoʀatsjəʊn
adventsdekoratiounen	ɑdvæntsdəkoʀatsjəʊnən
adventskalenner	ɑdvæntskɑlænɐ
adventskalenneren	ɑdvæntskɑlænəʀən
adventskranz	ɑdvæntskʀɑnts
adventskränz	ɑdvæntskʀænts
adventslidd	ɑdvæntslit
adventslidder	ɑdvæntslidɐ
adventsmaart	ɑdvæntsmaːʀt
adventsmäert	ɑdvæntsmɛːɐt
adventssonndeg	ɑdvæntszondəɕ
adventssonndeger	ɑdvæntszondəʑɐ
adverb	ɑdvæʀp
adverben	ɑdvæʀbən
aemooss	aːəmoːs
aendeckel	aːəndækəl
aendeckelen	aːəndækələn
aendokter	aːəndoktɐ
aendokteren	aːəndoktəʀən
aendoktesch	aːəndoktəʃ
aendokteschen	aːəndoktəʃən
aenzeien	aːəntsɑɪən
äerbel	ɛːɐbəl
äerd	ɛːɐt
äerdatmosphär	ɛːɐdaːtmosphɛːɐ
äerdbier	ɛːɐtbiːɐ
äerdbieren	ɛːɐtbiːʀən
äerdbiersgebeess	ɛːɐtbiːɐsgəbeːs
äerdbiersgebeesser	ɛːɐtbiːɐsgəbeːsɐ
äerdbiersgeschmaach	ɛːɐtbiːɐsgəʃmaːχ
äerdbiersglace	ɛːɐtbiːɐsglɑs
äerdbiersglacen	ɛːɐtbiːɐsglɑsən
äerdbiersgoût	ɛːɐtbiːɐsguː
äerdbiersjughurt	ɛːɐtbiːɐjuːχhuʀt
äerdbiersjughurten	ɛːɐtbiːɐjuːχhuʀtən
äerdbierskamell	ɛːɐtbiːɐskɑmæl
äerdbierskamellen	ɛːɐtbiːɐskɑmælən
äerdbierslikör	ɛːɐtbiːɐslikøːʀ
äerdbierslikören	ɛːɐtbiːɐslikøːʀən
äerdbierslutsch	ɛːɐtbiːɐslutʃ
äerdbierslutschen	ɛːɐtbiːɐslutʃən
äerdbierstaart	ɛːɐtbiːɐʃtaːʀt
äerdbierstaarten	ɛːɐtbiːɐʃtaːʀtən
äerdbiewegebitt	ɛːɐtbiəvəgəbit
äerdbiewegebidder	ɛːɐtbiəvəgəbidɐ
äerdbiewen	ɛːɐtbiəvən
äerdbuedem	ɛːɐtbuədəm
äerdeg	ɛːɐdəɕ
äerden	ɛːɐdən
geäert	ʒeːɛːɐt
äerdgas	ɛːɐtgaːs
äerdkugel	ɛːɐtkuʁəl
äerdrutsch	ɛːɐdʀutʃ
äerdrutschen	ɛːɐdʀutʃən
äermchen	ɛːɐmɕən
äermercher	ɛːɐmɐɕɐ
äert	ɛːɐt
äerz	ɛːɐts
äerzer	ɛːɐtsɐ
äerzbëschof	ɛːɐtsbəʃoːf
äerzbëscheef	ɛːɐtsbəʃeːf
äerzengel	ɛːɐtsæŋəl
äerzengelen	ɛːɐtsæŋələn
af	aːf
afen	aːfən
afaart	ɑfaːʀt
afaarten	ɑfaːʀtən
afahrt	ɑfaːʀt
afahrten	ɑfaːʀtən
afalen	ɑfaːlən
agefall	ɑgəfɑl
afänken	ɑfæŋkən
agefaangen	ɑgəfaːŋən
afeg	aːfəɕ
aféieren	ɑfɜɪəʀən
ageféiert	ɑgəfɜɪɐt
aféierung	ɑfɜɪəʀuŋ
aféierungen	ɑfɜɪəʀuŋən
afëllen	ɑfələn
agefëllt	ɑgəfəlt
geaaft	gəaːft
afenhëtzt	aːfənhətst
afennoss	ɑfænos
afennëss	ɑfænəs
afetten	ɑfætən
agefett	ɑgəfæt
affaire	ɑfɛːʀ
affairen	ɑfɛːʀən
affär	ɑfɛːʀ
affären	ɑfɛːʀən
äffchen	æfɕən
äffercher	æfɐɕɐ
affectatioun	ɑfeːktatsjəʊn
affectatiounen	ɑfeːktatsjəʊnən
affectéieren	ɑfeːktɜɪəʀən
affectéiert	ɑfeːktɜɪɐt
affekot	ɑfəkoːt
affekoten	ɑfəkoːtən
affekotin	ɑfəkoːtin
affekotinnen	ɑfəkoːtinən
affekt	ɑfəkt
affektatioun	ɑfəktatsjəʊn
affektatiounen	ɑfəktatsjəʊnən
affektéieren	ɑfəktɜɪəʀən
affektéiert	ɑfəktɜɪɐt
affer	ɑfɐ
afferen	ɑfəʀən
geaffert	gəɑfɐt
afferstack	ɑfɐʃtɑk
afferstäck	ɑfɐʃtæk
affichage	ɑfiʃaːʃ
affichagen	ɑfiʃaːʒən
affiche	ɑfiʃ
affichen	ɑfiɕən
affichéieren	ɑfiʃɜɪəʀən
affichéiert	ɑfiʃɜɪɐt
affiliatioun	ɑfiljatsjəʊn
affiliatiounen	ɑfiljatsjəʊnən
affiliéieren	ɑfiljɜɪəʀən
affiliéiert	ɑfiljɜɪɐt
affinitéit	ɑfinitɜɪt
affinitéiten	ɑfinitɜɪtən
affirmatioun	ɑfiʀmɑsjəʊn
affirmatiounen	ɑfiʀmatsjəʊnən
affirméieren	ɑfiʀmɜɪəʀən
affirméiert	ɑfiʀmɜɪɐt
affront	ɑfʀont
affronten	ɑfʀɑ̃ːən
affrontéiert	ɑfʀontɜɪɐt
afghan	ɑfgaːn
afghanen	ɑfgaːnən
afghanesch	ɑfgaːnəʃ
afghanin	ɑfgaːnin
afghaninnen	ɑfgaːninən
afghanistan	ɑfgaːnistaːn
afloss	ɑflos
aflëss	ɑfləs
afréieren	ɑfʀɜɪəʀən
agefruer	ɑgəfʀuːɐ
afriessen	ɑfʀiəsən
agefriess	ɑgəfʀiəs
aftershave	ɑftɐshɑvə
aftershaven	ɑftɐshɑvən
afügen	ɑfyːʑən
agefüügt	ɑgəfyːɕt
agang	ɑgɑŋ
agäng	ɑgæŋ
agank	ɑgɑŋk
ageheien	ɑgəhɑɪən
agehäit	ɑgəhæːɪt
ageholl	ɑgəhol
agéieren	ɑʒɜɪəʀən
agéiert	ɑʒɜɪɐt
agemaachtes	ɑgemaːχtəs
agence	ɑʒɑ̃ːs
agencen	ɑʒɑ̃ːsən
agenda	ɑʒændaː
agendaen	ɑʒændaːən
agent	ɑgænt
agenten	ɑʒɑ̃ːən
agentin	ɑgæntin
agentinnen	ɑgæntinən
ageschneit	ɑgəʃnɑɪt
ageschriwwen	ɑgəʃʀivən
agesinn	ɑgəzin
ageständnes	ɑgəʃtæntnəs
ageständnesser	ɑgəʃtæntnəsɐ
ageständnis	ɑgəʃtæntnis
ageständnisser	ɑgəʃtæntnisɐ
agestoen	ɑgəʃtoːən
agestanen	ɑgəʃtaːnən
agglomeratioun	ɑglomeʀatsjəʊn
agglomeratiounen	ɑglomeʀatsjəʊnən
aggresséieren	ɑgʀæsɜɪəʀən
aggresséiert	ɑgʀæsɜɪɐt
aggressioun	ɑgʀæsjəʊn
aggressiounen	ɑgʀæsjəʊnən
aggressiv	ɑgʀæsiːf
aggressivitéit	ɑgʀæsivitɜɪt
aginn	ɑgin
aglidderen	ɑglidəʀən
agegliddert	ɑgəglidɐt
agoen	ɑgoːən
agaangen	ɑgaːŋən
agonie	ɑgoniː
agrafe	ɑgʀaːfə
agraffen	ɑgʀɑfən
agraff	ɑgʀɑf
agräifen	ɑgʀæːɪfən
agegraff	ɑgəgʀɑf
agrarpolitik	ɑgʀaːʀpolitik
agreabel	ɑgʀeaːbəl
agrëff	ɑgʀəf
agrëffer	ɑgʀəfɐ
agrenzen	ɑgʀæntsən
agegrenzt	ɑgəgʀæntst
agruewen	ɑgʀuəvən
agegruewen	ɑgəgʀuəvən
ägypten	ɛːʑiptən
ägypter	ɛːʑiptɐ
ägypterin	ɛːʑiptəʀin
ägypterinnen	ɛːʑiptəʀinən
ägyptesch	ɛːʑiptəʃ
ahnen	aːnən
geahnt	gəaːnt
ähnlech	ɛːnləɕ
ahnung	aːnuŋ
ahorn	aːhɔʀn
ahornen	aːhɔʀnən
aids	ɜɪts
aidsbehandlung	ɜɪtsbəhɑndluŋ
aidsberodung	ɜɪtsbəʀoːduŋ
aidscampagne	ɜɪtskɑ̃ːmpɑɲ
aidscampagnen	ɜɪtskɑ̃ːmpɑɲən
aidskrank	ɜɪtskʀɑŋk
aidsmedikament	ɜɪtsmeːdikɑmænt
aidsmedikamenter	ɜɪtsmeːdikɑmæntɐ
aidsmëttel	ɜɪtsmətəl
aidsmëttelen	ɜɪtsmətələn
aidstest	ɜɪtstæst
aidstester	ɜɪtstæstɐ
aidstherapie	ɜɪtstɛʀaːpiː
aierchen	ɑɪɐɕən
aiercher	ɑɪɐɕɐ
äifer	æːɪfɐ
äifreg	æːɪfʀəɕ
airbag	ɛːʀbaːχ
airbaggen	ɛːʀbɑgən
äis	æːɪs
äisbierg	æːɪsbiːɐɕ
äisbierger	æːɪsbiːɐʑɐ
äisch	æːɪʃ
äischen	æːɪsjən
äischer	æːɪsɕɐ
äiseg	æːɪzəɕ
äiser	æːɪzɐ
äisgang	æːɪsgɑŋ
äisgank	æːɪsgɑŋk
äishellegen	æːɪshæləʑən
äishelleg	æːɪshæləɕ
äishockey	æːɪshokeːiː
äiskal	æːɪskaːl
äiskonschtlaf	æːɪskonʃtlaːf
äiskonschtleefer	æːɪskonʃtleːfɐ
äiskonschtleeferin	æːɪskonʃtleːfəʀin
äiskonschtleeferinnen	æːɪskonʃtleːfəʀinən
äispist	æːɪspist
äispisten	æːɪspistən
äispiste	æːɪspistə
äisschaf	æːɪsʃaːf
äisschief	æːɪsʃiəf
äisschicht	æːɪsʃiɕt
äisschichten	æːɪsʃiɕtən
äiszäit	æːɪstsæːɪt
äiszäiten	æːɪstsæːɪtən
ajoute	ɑʒuːə
ajoutten	ɑʒuːtən
ajustéieren	ɑʒystɜɪəʀən
ajustéiert	ɑʒystɜɪɐt
akachen	ɑkɑχən
agekacht	ɑgəkɑχt
akademesch	ɑkaːdeːməʃ
akademie	ɑkaːdeːmiː
akademien	ɑkaːdeːmiːən
akademiker	ɑkaːdeːmikɐ
akademikerin	ɑkaːdeːmikəʀin
akademikerinnen	ɑkaːdeːmikəʀinən
akaf	ɑkaːf
akeef	ɑkeːf
akafen	ɑkaːfən
akaaft	ɑkaːft
akafskierfchen	ɑkaːfskiːɐfɕən
akafskierwercher	ɑkaːfskiːɐvɐɕɐ
akafskuerf	ɑkaːfskuəf
akafskierf	ɑkaːfskiːɐf
akafspräis	ɑkaːfspʀæːɪs
akafspräisser	ɑkaːfspʀæːɪsɐ
akafsweenchen	ɑkaːfsveːnɕən
akafsweenercher	ɑkaːfsveːnɐɕɐ
akafszenter	ɑkaːfstsæntɐ
akafszentren	ɑkaːfstsæntʀən
akalkuléieren	ɑkaːlkulɜɪəʀən
akalkuléiert	ɑkaːlkulɜɪɐt
akasséieren	ɑkɑsɜɪəʀən
akasséiert	ɑkɑsɜɪɐt
akaul	aːkɑʊl
akaulen	aːkɑʊlən
akelleren	ɑkæləʀən
agekellert	ɑgəkælɐt
aker	ɑkɐ
akeren	aːkəʀən
akerbau	ɑkɐbæːʊ
geakert	gəaːkɐt
akerland	ɑkɐlɑnt
akkont	ɑkɑ̃ː
akkonten	ɑkɑ̃ːən
akkord	ɑkɔχt
akkorden	ɑkɔʀdən
akkordeon	ɑkɔʀdeːɑ̃ː
akkordeonen	ɑkɔʀdeːɑ̃ːən
akkordeonist	ɑkɔːʀdeːonist
akkordeonisten	ɑkɔːʀdeːonistən
akkordeonistin	ɑkɔːʀdeːonistin
akkordeonistinnen	ɑkɔːʀdeːonistinən
akku	ɑkuː
akkuen	ɑkuːən
akkusativ	ɑkuːzɑtiːf
akkusativen	ɑkuːzatiːvən
aklang	ɑklɑŋ
aklank	ɑklɑŋk
aklappen	ɑklɑpən
ageklappt	ɑgəklɑpt
aklasséieren	ɑklɑsɜɪəʀən
aklasséiert	ɑklɑsɜɪɐt
akleeden	ɑkleːdən
agekleet	ɑgəkleːt
aklemmen	ɑklæmən
ageklemmt	ɑgəklæmt
aknuppen	ɑknupən
ageknuppt	ɑgəknupt
akommes	ɑkoməs
akrämpen	ɑkʀæmpən
agekrämpt	ɑgəkʀæmpt
akreesen	ɑkʀeːzən
agekreest	ɑgəkʀeːst
akribesch	ɑkʀiːbəʃ
akribie	ɑkʀibiː
akrobat	ɑkʀobaːt
akrobaten	ɑkʀobaːtən
akrobatesch	ɑkʀobaːtəʃ
akrobatik	ɑkʀobaːtik
akrobatin	ɑkʀobaːtin
akrobatinnen	ɑkʀobaːtinən
akt	ɑkt
